2012 rank	City	State	2012 estimate	2010 Census	Change	2012 land area	2012 population density	ANSI	Location
32	Albuquerque	New Mexico	"555,417"	"545,852"	1.75%	187.730 sq mi	"2,908 per sq mi"	2409678	35.1056°N 106.6474°W
94	Scottsdale	Arizona	"223,514"	"217,385"	2.82%	183.920 sq mi	"1,182 per sq mi"	2411845	33.6687°N 111.8237°W
191	New Haven	Connecticut	"130,741"	"129,779"	0.74%	18.679 sq mi	"6,948 per sq mi"	2378285	41.3108°N 72.9250°W
220	Santa Clara	California	"119,311"	"116,468"	2.44%	18.407 sq mi	"6,327 per sq mi"	2411816	37.3646°N 121.9679°W
134	Providence	Rhode Island	"178,432"	"178,042"	0.22%	18.400 sq mi	"9,676 per sq mi"	1220076	41.8231°N 71.4188°W
240	Miami Gardens	Florida	"110,754"	"107,167"	3.35%	18.231 sq mi	"5,878 per sq mi"	2404249	25.9489°N 80.2436°W
115	Yonkers	New York	"198,449"	"195,976"	1.26%	18.012 sq mi	"10,880 per sq mi"	979660	40.9459°N 73.8674°W
231	Norman	Oklahoma	"115,562"	"110,925"	4.18%	178.763 sq mi	621 per sq mi	2411267	35.2406°N 97.3453°W
10	San Jose	California	"982,765"	"945,942"	3.89%	176.526 sq mi	"5,359 per sq mi"	2411790	37.2969°N 121.8193°W
150	Peoria	Arizona	"159,789"	"154,065"	3.72%	174.404 sq mi	883 per sq mi	2411401	33.7877°N 112.3111°W
136	Garden Grove	California	"174,389"	"170,883"	2.05%	17.941 sq mi	"9,525 per sq mi"	2410568	33.7788°N 117.9605°W
222	Allentown	Pennsylvania	"118,974"	"118,032"	0.80%	17.546 sq mi	"6,727 per sq mi"	1215372	40.5940°N 75.4782°W
209	Hartford	Connecticut	"124,893"	"124,775"	0.09%	17.381 sq mi	"7,179 per sq mi"	2378277	41.7660°N 72.6833°W
271	Burbank	California	"104,391"	"103,340"	1.02%	17.341 sq mi	"5,959 per sq mi"	2409939	34.1890°N 118.3249°W
51	New Orleans	Louisiana	"369,250"	"343,829"	7.39%	169.423 sq mi	"2,029 per sq mi"	545142	30.0686°N 89.9390°W
60	Corpus Christi	Texas	"312,195"	"305,215"	2.29%	160.612 sq mi	"1,900 per sq mi"	2410234	27.7543°N 97.1734°W
257	West Covina	California	"107,440"	"106,098"	1.26%	16.041 sq mi	"6,614 per sq mi"	2412219	34.0559°N 117.9099°W
105	Montgomery	Alabama	"205,293"	"205,764"	?0.23%	159.565 sq mi	"1,290 per sq mi"	2404289	32.3463°N 86.2686°W
49	Wichita	Kansas	"385,577"	"382,368"	0.84%	159.295 sq mi	"2,400 per sq mi"	485662	37.6907°N 97.3427°W
