2012 rank	City	State	2012 estimate	2010 Census	Change	2012 land area	2012 population density	ANSI	Location
171	Cary[26]	North Carolina	"145,693"	"135,234"	7.73%	54.345 sq mi	"2,488 per sq mi"	2406229	35.7821°N 78.8141°W
163	Fort Collins	Colorado	"148,612"	"143,986"	3.21%	54.277 sq mi	"2,653 per sq mi"	2410526	40.5482°N 105.0648°W
79	Norfolk	Virginia	"245,782"	"242,803"	1.23%	54.120 sq mi	"4,486 per sq mi"	1498557	36.9230°N 76.2446°W
47	Minneapolis	Minnesota	"392,880"	"382,578"	2.69%	53.973 sq mi	"7,088 per sq mi"	2395345	44.9633°N 93.2683°W
260	High Point	North Carolina	"106,586"	"104,371"	2.12%	53.803 sq mi	"1,940 per sq mi"	2404696	35.9855°N 79.9902°W
254	Pueblo	Colorado	"107,772"	"106,595"	1.10%	53.641 sq mi	"1,987 per sq mi"	2411501	38.2731°N 104.6124°W
187	Killeen	Texas	"134,654"	"127,921"	5.26%	53.580 sq mi	"2,387 per sq mi"	2411542	31.0777°N 97.7320°W
132	Santa Clarita	California	"179,013"	"176,320"	1.53%	52.716 sq mi	"3,345 per sq mi"	2411819	34.4049°N 118.5047°W
6	Phoenix	Arizona	"1,488,750"	"1,445,632"	2.98%	516.704 sq mi	"2,798 per sq mi"	2411414	33.5722°N 112.0880°W
66	Saint Paul	Minnesota	"290,770"	"285,068"	2.00%	51.979 sq mi	"5,484 per sq mi"	2396511	44.9489°N 93.1039°W
243	Wilmington	North Carolina	"109,922"	"106,476"	3.24%	51.493 sq mi	"2,068 per sq mi"	2405754	34.2092°N 77.8858°W
185	Hampton[15]	Virginia	"136,836"	"137,436"	?0.44%	51.413 sq mi	"2,673 per sq mi"	1498554	37.0480°N 76.2971°W
113	Moreno Valley	California	"199,552"	"193,365"	3.20%	51.275 sq mi	"3,771 per sq mi"	2411159	33.9233°N 117.2057°W
36	Long Beach	California	"467,892"	"462,257"	1.22%	50.293 sq mi	"9,191 per sq mi"	2410866	33.8091°N 118.1553°W
143	Ontario	California	"167,211"	"163,924"	2.01%	49.941 sq mi	"3,282 per sq mi"	2411323	34.0395°N 117.6088°W
55	Anaheim	California	"343,248"	"336,265"	2.08%	49.835 sq mi	"6,748 per sq mi"	2409704	33.8555°N 117.7601°W
108	Tacoma	Washington	"202,010"	"198,397"	1.82%	49.721 sq mi	"3,990 per sq mi"	2412025	47.2522°N 122.4598°W
76	Chula Vista	California	"252,422"	"243,916"	3.49%	49.631 sq mi	"4,915 per sq mi"	2409461	32.6277°N 117.0152°W
214	Lafayette[27]	Louisiana	"122,761"	"120,623"	1.77%	49.231 sq mi	"2,450 per sq mi"	2404854	30.2116°N 92.0314°W
245	Fargo	North Dakota	"109,779"	"105,549"	4.01%	48.821 sq mi	"2,162 per sq mi"	1036030	46.8652°N 96.8290°W
186	McAllen	Texas	"134,719"	"129,877"	3.73%	48.344 sq mi	"2,687 per sq mi"	2411057	26.2185°N 98.2461°W
21	Boston	Massachusetts	"636,479"	"617,594"	3.06%	48.277 sq mi	"12,793 per sq mi"	619463	42.3320°N 71.0202°W
230	Peoria	Illinois	"115,687"	"115,007"	0.59%	48.007 sq mi	"2,396 per sq mi"	2396178	40.7523°N 89.6171°W
25	Nashville	Tennessee	"624,496"	"601,222"	3.87%	475.126 sq mi	"1,265 per sq mi"	2405092	36.1718°N 86.7850°W
155	Salem	Oregon	"157,429"	"154,637"	1.81%	47.896 sq mi	"3,229 per sq mi"	2411764	44.9237°N 123.0231°W
2	Los Angeles	California	"3,857,799"	"3,792,621"	1.72%	468.670 sq mi	"8,092 per sq mi"	2410877	34.0194°N 118.4108°W
7	San Antonio	Texas	"1,382,951"	"1,327,407"	4.18%	460.933 sq mi	"2,880 per sq mi"	2411774	29.4724°N 98.5251°W
14	San Francisco	California	"825,863"	"805,235"	2.56%	46.873 sq mi	"17,179 per sq mi"	2411786	37.7751°N 122.4193°W
145	Vancouver	Washington	"165,489"	"161,791"	2.29%	46.456 sq mi	"3,483 per sq mi"	2412146	45.6372°N 122.5965°W
178	Mesquite	Texas	"143,195"	"139,824"	2.41%	46.021 sq mi	"3,038 per sq mi"	2411090	32.7639°N 96.5924°W
268	Green Bay	Wisconsin	"104,868"	"104,057"	0.78%	45.467 sq mi	"2,289 per sq mi"	1583309	44.5207°N 87.9842°W
162	Hayward	California	"149,392"	"144,186"	3.61%	45.323 sq mi	"3,181 per sq mi"	2410724	37.6281°N 122.1063°W
112	Aurora	Illinois	"199,932"	"197,899"	1.03%	44.936 sq mi	"4,404 per sq mi"	2394031	41.7635°N 88.2901°W
123	Grand Rapids	Michigan	"190,411"	"188,040"	1.26%	44.395 sq mi	"4,236 per sq mi"	1626373	42.9612°N 85.6556°W
218	Evansville	Indiana	"120,235"	"117,429"	2.39%	44.153 sq mi	"2,660 per sq mi"	2394710	37.9877°N 87.5347°W
154	Eugene	Oregon	"157,986"	"156,185"	1.15%	43.723 sq mi	"3,572 per sq mi"	2410460	44.0567°N 123.1162°W
258	Billings	Montana	"106,954"	"104,170"	2.67%	43.413 sq mi	"2,399 per sq mi"	2409849	45.7895°N 108.5499°W
172	Lakewood	Colorado	"145,516"	"142,980"	1.77%	42.880 sq mi	"3,334 per sq mi"	2411614	39.6989°N 105.1176°W
159	Pasadena	Texas	"152,272"	"149,043"	2.17%	42.762 sq mi	"3,485 per sq mi"	2411380	29.6583°N 95.1505°W
110	Fontana	California	"201,812"	"196,069"	2.93%	42.432 sq mi	"4,621 per sq mi"	2410517	34.1088°N 117.4627°W
152	Elk Grove	California	"159,038"	"153,015"	3.94%	42.190 sq mi	"3,627 per sq mi"	2410425	38.4144°N 121.3849°W
265	Odessa	Texas	"106,102"	"99,940"	6.17%	41.955 sq mi	"2,382 per sq mi"	2411303	31.8804°N 102.3434°W
229	Provo	Utah	"115,919"	"112,488"	3.05%	41.673 sq mi	"2,699 per sq mi"	2411499	40.2453°N 111.6448°W
204	Simi Valley	California	"125,793"	"124,237"	1.25%	41.480 sq mi	"2,995 per sq mi"	2411904	34.2669°N 118.7485°W
287	South Bend	Indiana	"100,800"	"101,168"	?0.36%	41.458 sq mi	"2,440 per sq mi"	2395913	41.6769°N 86.2690°W
141	Santa Rosa	California	"170,685"	"167,815"	1.71%	41.294 sq mi	"4,064 per sq mi"	2411827	38.4468°N 122.7061°W
137	Oceanside	California	"171,293"	"167,086"	2.52%	41.235 sq mi	"4,052 per sq mi"	2411301	33.2246°N 117.3062°W
73	Buffalo	New York	"259,384"	"261,310"	?0.74%	40.384 sq mi	"6,471 per sq mi"	978764	42.8925°N 78.8597°W
144	Tempe	Arizona	"166,842"	"161,719"	3.17%	39.929 sq mi	"4,050 per sq mi"	2412045	33.3884°N 111.9318°W
140	Rancho Cucamonga	California	"170,746"	"165,269"	3.31%	39.851 sq mi	"4,147 per sq mi"	2411514	34.1233°N 117.5642°W
153	Corona	California	"158,391"	"152,374"	3.95%	38.825 sq mi	"3,925 per sq mi"	2410232	33.8624°N 117.5639°W
176	Naperville	Illinois	"143,684"	"141,853"	1.29%	38.769 sq mi	"3,659 per sq mi"	2395147	41.7492°N 88.1620°W
247	Carlsbad	California	"109,318"	"105,328"	3.79%	37.722 sq mi	"2,792 per sq mi"	2409984	33.1239°N 117.2828°W
208	Stamford	Connecticut	"125,109"	"122,643"	2.01%	37.639 sq mi	"3,258 per sq mi"	2378291	41.0799°N 73.5460°W
256	Fairfield	California	"107,684"	"105,321"	2.24%	37.390 sq mi	"2,817 per sq mi"	2410474	38.2568°N 122.0397°W
127	Worcester	Massachusetts	"182,669"	"181,045"	0.90%	37.371 sq mi	"4,845 per sq mi"	619493	42.2695°N 71.8078°W
242	Elgin	Illinois	"109,927"	"108,188"	1.61%	37.163 sq mi	"2,911 per sq mi"	2394641	42.0396°N 88.3217°W
13	Indianapolis	Indiana	"834,852"	"820,445"	1.76%	361.433 sq mi	"2,270 per sq mi"	2395424	39.7767°N 86.1459°W
106	Modesto	California	"203,547"	"201,165"	1.18%	36.867 sq mi	"5,456 per sq mi"	2411130	37.6609°N 120.9891°W
165	Escondido	California	"147,575"	"143,911"	2.55%	36.813 sq mi	"3,909 per sq mi"	2410455	33.1336°N 117.0732°W
192	Sterling Heights	Michigan	"130,410"	"129,699"	0.55%	36.505 sq mi	"3,553 per sq mi"	1627126	42.5812°N 83.0303°W
206	Carrollton	Texas	"125,409"	"119,097"	5.30%	36.296 sq mi	"3,281 per sq mi"	2409992	32.9884°N 96.8998°W
199	Visalia	California	"127,081"	"124,442"	2.12%	36.246 sq mi	"3,433 per sq mi"	2412160	36.3272°N 119.3234°W
211	Roseville	California	"124,519"	"118,788"	4.82%	36.222 sq mi	"3,279 per sq mi"	2411000	38.7657°N 121.3032°W
235	Lansing	Michigan	"113,996"	"114,297"	?0.26%	36.049 sq mi	"3,171 per sq mi"	1626588	42.7098°N 84.5562°W
44	Miami	Florida	"413,892"	"399,457"	3.61%	35.871 sq mi	"11,539 per sq mi"	2404247	25.7752°N 80.2086°W
101	Rochester	New York	"210,532"	"210,565"	?0.02%	35.781 sq mi	"5,885 per sq mi"	979426	43.1699°N 77.6169°W
189	West Valley City	Utah	"132,434"	"129,480"	2.28%	35.556 sq mi	"3,642 per sq mi"	2412231	40.6885°N 112.0118°W
246	Arvada	Colorado	"109,745"	"106,433"	3.11%	35.142 sq mi	"3,029 per sq mi"	2409737	39.8097°N 105.1066°W
92	Chesapeake[15]	Virginia	"228,417"	"222,209"	2.79%	340.800 sq mi	652 per sq mi	1498558	36.6794°N 76.3018°W
9	Dallas	Texas	"1,241,162"	"1,197,816"	3.62%	340.519 sq mi	"3,518 per sq mi"	2410288	32.7757°N 96.7967°W
212	Thornton	Colorado	"124,140"	"118,772"	4.52%	34.843 sq mi	"3,409 per sq mi"	2412064	39.9180°N 104.9454°W
139	Fort Lauderdale	Florida	"170,747"	"165,521"	3.16%	34.765 sq mi	"4,761 per sq mi"	2403640	26.1413°N 80.1439°W
188	Warren	Michigan	"134,141"	"134,056"	0.06%	34.381 sq mi	"3,899 per sq mi"	1627213	42.4929°N 83.0250°W
261	Round Rock	Texas	"106,573"	"99,887"	6.69%	34.113 sq mi	"2,928 per sq mi"	2411005	30.5237°N 97.6674°W
16	Fort Worth	Texas	"777,992"	"741,206"	4.96%	339.819 sq mi	"2,181 per sq mi"	2410531	32.7795°N 97.3463°W
259	Murrieta	California	"106,810"	"103,466"	3.23%	33.577 sq mi	"3,081 per sq mi"	2411199	33.5719°N 117.1907°W
269	Everett	Washington	"104,655"	"103,019"	1.59%	33.447 sq mi	"3,080 per sq mi"	2410469	48.0033°N 122.1742°W
288	Flint	Michigan	"100,515"	"102,434"	?1.87%	33.416 sq mi	"3,065 per sq mi"	1626285	43.0244°N 83.6920°W
148	Pembroke Pines	Florida	"160,306"	"154,019"	4.08%	33.124 sq mi	"4,672 per sq mi"	2404502	26.0212°N 80.3404°W
241	Manchester	New Hampshire	"110,209"	"109,565"	0.59%	33.101 sq mi	"3,310 per sq mi"	873658	42.9847°N 71.4439°W
27	Louisville	Kentucky	"605,110"	"597,337"	1.30%	325.248 sq mi	"1,837 per sq mi"	1967434	38.1781°N 85.6667°W
8	San Diego	California	"1,338,348"	"1,307,402"	2.37%	325.188 sq mi	"4,020 per sq mi"	2411782	32.8153°N 117.1350°W
253	West Jordan	Utah	"108,383"	"103,712"	4.50%	32.457 sq mi	"3,195 per sq mi"	2412222	40.6023°N 112.0010°W
20	Memphis	Tennessee	"655,155"	"646,889"	1.28%	315.055 sq mi	"2,053 per sq mi"	2405068	35.1035°N 89.9785°W
37	Kansas City	Missouri	"464,310"	"459,787"	0.98%	314.950 sq mi	"1,460 per sq mi"	2395492	39.1252°N 94.5511°W
202	Bellevue	Washington	"126,439"	"122,363"	3.33%	31.968 sq mi	"3,828 per sq mi"	2409821	47.5978°N 122.1565°W
158	Springfield	Massachusetts	"153,552"	"153,060"	0.32%	31.865 sq mi	"4,803 per sq mi"	619388	42.1155°N 72.5400°W
248	Westminster	Colorado	"109,169"	"106,114"	2.88%	31.550 sq mi	"3,363 per sq mi"	2412237	39.8822°N 105.0644°W
1	New York	New York	"8,336,697"	"8,175,133"	1.98%	302.643 sq mi	"27,012 per sq mi"	2395220	40.6643°N 73.9385°W
117	Augusta[24]	Georgia	"197,872"	"195,844"	1.04%	302.474 sq mi	647 per sq mi	2405078	33.3655°N 82.0734°W
